original,gentle,playful,bold,id,scenario
"Actually, Do you know anyone here?",Do you know anyone here? Because I'd love to know you,"Know anyone here? Perfect, now you know me - your new favorite person","Know anyone here? You will soon - me, intimately",flirt_0479,energetic environment
"Oh, Do you know anyone here?",Do you know anyone here? Because I'd love to know you,"Know anyone here? Perfect, now you know me - your new favorite person","Know anyone here? You will soon - me, intimately",flirt_0480,spontaneous meeting
"Well, Do you know anyone here?",Do you know anyone here? Because I'd love to know you,"Know anyone here? Perfect, now you know me - your new favorite person","Know anyone here? You will soon - me, intimately",flirt_0481,shared activity
"Um, Do you know anyone here?",Do you know anyone here? Because I'd love to know you,"Know anyone here? Perfect, now you know me - your new favorite person","Know anyone here? You will soon - me, intimately",flirt_0482,community space
"Honestly, Do you know anyone here?",Do you know anyone here? Because I'd love to know you,"Know anyone here? Perfect, now you know me - your new favorite person","Know anyone here? You will soon - me, intimately",flirt_0483,public place
"Hey, Nice outfit",That outfit looks incredible on you... you have such great style,Nice outfit! Did you dress up just to make everyone else here look underdressed?,Nice outfit... it would look even better on my bedroom floor,flirt_0484,entertainment venue
"So, Nice outfit",That outfit looks incredible on you... you have such great style,Nice outfit! Did you dress up just to make everyone else here look underdressed?,Nice outfit... it would look even better on my bedroom floor,flirt_0485,quiet moment
"Actually, Nice outfit",That outfit looks incredible on you... you have such great style,Nice outfit! Did you dress up just to make everyone else here look underdressed?,Nice outfit... it would look even better on my bedroom floor,flirt_0486,relaxed atmosphere
"Oh, Nice outfit",That outfit looks incredible on you... you have such great style,Nice outfit! Did you dress up just to make everyone else here look underdressed?,Nice outfit... it would look even better on my bedroom floor,flirt_0487,one-on-one
"Well, Nice outfit",That outfit looks incredible on you... you have such great style,Nice outfit! Did you dress up just to make everyone else here look underdressed?,Nice outfit... it would look even better on my bedroom floor,flirt_0488,learning environment
"Um, Nice outfit",That outfit looks incredible on you... you have such great style,Nice outfit! Did you dress up just to make everyone else here look underdressed?,Nice outfit... it would look even better on my bedroom floor,flirt_0489,day activity
"Honestly, Nice outfit",That outfit looks incredible on you... you have such great style,Nice outfit! Did you dress up just to make everyone else here look underdressed?,Nice outfit... it would look even better on my bedroom floor,flirt_0490,intimate setting
"Hey, Want to step outside?",Want to step outside? I'd love to continue our conversation somewhere quieter,Step outside? I promise I'm more interesting than the party,Want to step outside? Or skip straight to going home together?,flirt_0491,travel situation
"So, Want to step outside?",Want to step outside? I'd love to continue our conversation somewhere quieter,Step outside? I promise I'm more interesting than the party,Want to step outside? Or skip straight to going home together?,flirt_0492,shopping area
"Actually, Want to step outside?",Want to step outside? I'd love to continue our conversation somewhere quieter,Step outside? I promise I'm more interesting than the party,Want to step outside? Or skip straight to going home together?,flirt_0493,group setting
"Oh, Want to step outside?",Want to step outside? I'd love to continue our conversation somewhere quieter,Step outside? I promise I'm more interesting than the party,Want to step outside? Or skip straight to going home together?,flirt_0494,fitness activity
"Well, Want to step outside?",Want to step outside? I'd love to continue our conversation somewhere quieter,Step outside? I promise I'm more interesting than the party,Want to step outside? Or skip straight to going home together?,flirt_0495,travel situation
"Um, Want to step outside?",Want to step outside? I'd love to continue our conversation somewhere quieter,Step outside? I promise I'm more interesting than the party,Want to step outside? Or skip straight to going home together?,flirt_0496,fitness activity
"Honestly, Want to step outside?",Want to step outside? I'd love to continue our conversation somewhere quieter,Step outside? I promise I'm more interesting than the party,Want to step outside? Or skip straight to going home together?,flirt_0497,friendly encounter
"Hey, What's your story?",What's your story? I have a feeling it's fascinating,What's your story? Chapter 1 better include meeting me tonight,What's your story? I want to be in the next chapter,flirt_0498,public place
"So, What's your story?",What's your story? I have a feeling it's fascinating,What's your story? Chapter 1 better include meeting me tonight,What's your story? I want to be in the next chapter,flirt_0499,one-on-one
"Actually, What's your story?",What's your story? I have a feeling it's fascinating,What's your story? Chapter 1 better include meeting me tonight,What's your story? I want to be in the next chapter,flirt_0500,day activity
"Oh, What's your story?",What's your story? I have a feeling it's fascinating,What's your story? Chapter 1 better include meeting me tonight,What's your story? I want to be in the next chapter,flirt_0501,transportation
"Well, What's your story?",What's your story? I have a feeling it's fascinating,What's your story? Chapter 1 better include meeting me tonight,What's your story? I want to be in the next chapter,flirt_0502,one-on-one
"Um, What's your story?",What's your story? I have a feeling it's fascinating,What's your story? Chapter 1 better include meeting me tonight,What's your story? I want to be in the next chapter,flirt_0503,professional context
"Honestly, What's your story?",What's your story? I have a feeling it's fascinating,What's your story? Chapter 1 better include meeting me tonight,What's your story? I want to be in the next chapter,flirt_0504,energetic environment
"Hey, Are you single?",Are you single? Because someone like you shouldn't be alone,"Single? Please say yes, I've been working up courage all night",Single? Good. I don't like competition,flirt_0505,social gathering
"So, Are you single?",Are you single? Because someone like you shouldn't be alone,"Single? Please say yes, I've been working up courage all night",Single? Good. I don't like competition,flirt_0506,transportation
"Actually, Are you single?",Are you single? Because someone like you shouldn't be alone,"Single? Please say yes, I've been working up courage all night",Single? Good. I don't like competition,flirt_0507,night scene
"Oh, Are you single?",Are you single? Because someone like you shouldn't be alone,"Single? Please say yes, I've been working up courage all night",Single? Good. I don't like competition,flirt_0508,relaxed atmosphere
"Well, Are you single?",Are you single? Because someone like you shouldn't be alone,"Single? Please say yes, I've been working up courage all night",Single? Good. I don't like competition,flirt_0509,quiet moment
"Um, Are you single?",Are you single? Because someone like you shouldn't be alone,"Single? Please say yes, I've been working up courage all night",Single? Good. I don't like competition,flirt_0510,private moment
"Honestly, Are you single?",Are you single? Because someone like you shouldn't be alone,"Single? Please say yes, I've been working up courage all night",Single? Good. I don't like competition,flirt_0511,one-on-one
"Hey, Want another drink?",Another drink? I'd love an excuse to spend more time with you,"Another drink? Sure, but I'm already intoxicated by you",Another drink at my place? We can skip the crowd,flirt_0512,crowded place
"So, Want another drink?",Another drink? I'd love an excuse to spend more time with you,"Another drink? Sure, but I'm already intoxicated by you",Another drink at my place? We can skip the crowd,flirt_0513,evening out
"Actually, Want another drink?",Another drink? I'd love an excuse to spend more time with you,"Another drink? Sure, but I'm already intoxicated by you",Another drink at my place? We can skip the crowd,flirt_0514,travel situation
"Oh, Want another drink?",Another drink? I'd love an excuse to spend more time with you,"Another drink? Sure, but I'm already intoxicated by you",Another drink at my place? We can skip the crowd,flirt_0515,quiet moment
"Well, Want another drink?",Another drink? I'd love an excuse to spend more time with you,"Another drink? Sure, but I'm already intoxicated by you",Another drink at my place? We can skip the crowd,flirt_0516,private moment
"Um, Want another drink?",Another drink? I'd love an excuse to spend more time with you,"Another drink? Sure, but I'm already intoxicated by you",Another drink at my place? We can skip the crowd,flirt_0517,friendly encounter
"Honestly, Want another drink?",Another drink? I'd love an excuse to spend more time with you,"Another drink? Sure, but I'm already intoxicated by you",Another drink at my place? We can skip the crowd,flirt_0518,waiting situation
"Hey, This music is loud",Music's loud... want to find somewhere we can actually hear each other?,So loud! Good thing I read lips... and body language,Too loud... let's go somewhere we can make our own noise,flirt_0519,group setting
"So, This music is loud",Music's loud... want to find somewhere we can actually hear each other?,So loud! Good thing I read lips... and body language,Too loud... let's go somewhere we can make our own noise,flirt_0520,night scene
"Actually, This music is loud",Music's loud... want to find somewhere we can actually hear each other?,So loud! Good thing I read lips... and body language,Too loud... let's go somewhere we can make our own noise,flirt_0521,recreational setting
"Oh, This music is loud",Music's loud... want to find somewhere we can actually hear each other?,So loud! Good thing I read lips... and body language,Too loud... let's go somewhere we can make our own noise,flirt_0522,social event
"Well, This music is loud",Music's loud... want to find somewhere we can actually hear each other?,So loud! Good thing I read lips... and body language,Too loud... let's go somewhere we can make our own noise,flirt_0523,everyday moment
"Um, This music is loud",Music's loud... want to find somewhere we can actually hear each other?,So loud! Good thing I read lips... and body language,Too loud... let's go somewhere we can make our own noise,flirt_0524,social gathering
"Honestly, This music is loud",Music's loud... want to find somewhere we can actually hear each other?,So loud! Good thing I read lips... and body language,Too loud... let's go somewhere we can make our own noise,flirt_0525,learning environment
"Hey, Everything looks good",Everything looks good here... especially the company,"Everything looks good, but you're definitely the most appetizing thing I've seen","Everything looks good, but I'm only hungry for your number",flirt_0526,intimate setting
"So, Everything looks good",Everything looks good here... especially the company,"Everything looks good, but you're definitely the most appetizing thing I've seen","Everything looks good, but I'm only hungry for your number",flirt_0527,public interaction
"Actually, Everything looks good",Everything looks good here... especially the company,"Everything looks good, but you're definitely the most appetizing thing I've seen","Everything looks good, but I'm only hungry for your number",flirt_0528,everyday moment
"Oh, Everything looks good",Everything looks good here... especially the company,"Everything looks good, but you're definitely the most appetizing thing I've seen","Everything looks good, but I'm only hungry for your number",flirt_0529,everyday moment
"Well, Everything looks good",Everything looks good here... especially the company,"Everything looks good, but you're definitely the most appetizing thing I've seen","Everything looks good, but I'm only hungry for your number",flirt_0530,group setting
"Um, Everything looks good",Everything looks good here... especially the company,"Everything looks good, but you're definitely the most appetizing thing I've seen","Everything looks good, but I'm only hungry for your number",flirt_0531,day activity
"Honestly, Everything looks good",Everything looks good here... especially the company,"Everything looks good, but you're definitely the most appetizing thing I've seen","Everything looks good, but I'm only hungry for your number",flirt_0532,cultural venue
"Hey, Have you tried this before?",Have you tried this? I'd love to know what you recommend,Have you tried this? Because I'd like to try asking you out,Have you tried dating me? I highly recommend it,flirt_0533,community space
"So, Have you tried this before?",Have you tried this? I'd love to know what you recommend,Have you tried this? Because I'd like to try asking you out,Have you tried dating me? I highly recommend it,flirt_0534,spontaneous meeting
"Actually, Have you tried this before?",Have you tried this? I'd love to know what you recommend,Have you tried this? Because I'd like to try asking you out,Have you tried dating me? I highly recommend it,flirt_0535,shared activity
"Oh, Have you tried this before?",Have you tried this? I'd love to know what you recommend,Have you tried this? Because I'd like to try asking you out,Have you tried dating me? I highly recommend it,flirt_0536,day activity
"Well, Have you tried this before?",Have you tried this? I'd love to know what you recommend,Have you tried this? Because I'd like to try asking you out,Have you tried dating me? I highly recommend it,flirt_0537,dining experience
"Um, Have you tried this before?",Have you tried this? I'd love to know what you recommend,Have you tried this? Because I'd like to try asking you out,Have you tried dating me? I highly recommend it,flirt_0538,friendly encounter
"Honestly, Have you tried this before?",Have you tried this? I'd love to know what you recommend,Have you tried this? Because I'd like to try asking you out,Have you tried dating me? I highly recommend it,flirt_0539,dining experience
"Hey, Can I get you anything?",Can I get you anything? Besides a reason to keep talking to you?,Get you anything? How about my number to start?,"Get you anything? Yeah, naked. Wait, that came out wrong... or did it?",flirt_0540,daytime interaction
"So, Can I get you anything?",Can I get you anything? Besides a reason to keep talking to you?,Get you anything? How about my number to start?,"Get you anything? Yeah, naked. Wait, that came out wrong... or did it?",flirt_0541,casual conversation
"Actually, Can I get you anything?",Can I get you anything? Besides a reason to keep talking to you?,Get you anything? How about my number to start?,"Get you anything? Yeah, naked. Wait, that came out wrong... or did it?",flirt_0542,one-on-one
"Oh, Can I get you anything?",Can I get you anything? Besides a reason to keep talking to you?,Get you anything? How about my number to start?,"Get you anything? Yeah, naked. Wait, that came out wrong... or did it?",flirt_0543,casual conversation
"Well, Can I get you anything?",Can I get you anything? Besides a reason to keep talking to you?,Get you anything? How about my number to start?,"Get you anything? Yeah, naked. Wait, that came out wrong... or did it?",flirt_0544,cultural venue
"Um, Can I get you anything?",Can I get you anything? Besides a reason to keep talking to you?,Get you anything? How about my number to start?,"Get you anything? Yeah, naked. Wait, that came out wrong... or did it?",flirt_0545,evening out
"Honestly, Can I get you anything?",Can I get you anything? Besides a reason to keep talking to you?,Get you anything? How about my number to start?,"Get you anything? Yeah, naked. Wait, that came out wrong... or did it?",flirt_0546,professional context
"Hey, This is delicious",This is delicious... almost as sweet as your smile,Delicious! But I bet you taste even better,Delicious... want to be my dessert?,flirt_0547,dining experience
"So, This is delicious",This is delicious... almost as sweet as your smile,Delicious! But I bet you taste even better,Delicious... want to be my dessert?,flirt_0548,dining experience
"Actually, This is delicious",This is delicious... almost as sweet as your smile,Delicious! But I bet you taste even better,Delicious... want to be my dessert?,flirt_0549,public interaction
"Oh, This is delicious",This is delicious... almost as sweet as your smile,Delicious! But I bet you taste even better,Delicious... want to be my dessert?,flirt_0550,special occasion
"Well, This is delicious",This is delicious... almost as sweet as your smile,Delicious! But I bet you taste even better,Delicious... want to be my dessert?,flirt_0551,relaxed atmosphere
"Um, This is delicious",This is delicious... almost as sweet as your smile,Delicious! But I bet you taste even better,Delicious... want to be my dessert?,flirt_0552,formal setting
"Honestly, This is delicious",This is delicious... almost as sweet as your smile,Delicious! But I bet you taste even better,Delicious... want to be my dessert?,flirt_0553,one-on-one
"Hey, Check please",Check please... and maybe your number too?,Check please! Also checking if you're free tonight,Check please... then let's check into a hotel,flirt_0554,day activity
"So, Check please",Check please... and maybe your number too?,Check please! Also checking if you're free tonight,Check please... then let's check into a hotel,flirt_0555,everyday moment
"Actually, Check please",Check please... and maybe your number too?,Check please! Also checking if you're free tonight,Check please... then let's check into a hotel,flirt_0556,night scene
"Oh, Check please",Check please... and maybe your number too?,Check please! Also checking if you're free tonight,Check please... then let's check into a hotel,flirt_0557,everyday moment
"Well, Check please",Check please... and maybe your number too?,Check please! Also checking if you're free tonight,Check please... then let's check into a hotel,flirt_0558,public interaction
"Um, Check please",Check please... and maybe your number too?,Check please! Also checking if you're free tonight,Check please... then let's check into a hotel,flirt_0559,learning environment
"Honestly, Check please",Check please... and maybe your number too?,Check please! Also checking if you're free tonight,Check please... then let's check into a hotel,flirt_0560,intimate setting
"Hey, Are you ready to order?",Ready to order? I already know what I want... more time with you,Ready to order? I'll have whatever you're having and your phone number,Ready to order? I'll take you to go,flirt_0561,entertainment venue
"So, Are you ready to order?",Ready to order? I already know what I want... more time with you,Ready to order? I'll have whatever you're having and your phone number,Ready to order? I'll take you to go,flirt_0562,friendly encounter
"Actually, Are you ready to order?",Ready to order? I already know what I want... more time with you,Ready to order? I'll have whatever you're having and your phone number,Ready to order? I'll take you to go,flirt_0563,everyday moment
"Oh, Are you ready to order?",Ready to order? I already know what I want... more time with you,Ready to order? I'll have whatever you're having and your phone number,Ready to order? I'll take you to go,flirt_0564,waiting situation
"Well, Are you ready to order?",Ready to order? I already know what I want... more time with you,Ready to order? I'll have whatever you're having and your phone number,Ready to order? I'll take you to go,flirt_0565,recreational setting
"Um, Are you ready to order?",Ready to order? I already know what I want... more time with you,Ready to order? I'll have whatever you're having and your phone number,Ready to order? I'll take you to go,flirt_0566,spontaneous meeting
"Honestly, Are you ready to order?",Ready to order? I already know what I want... more time with you,Ready to order? I'll have whatever you're having and your phone number,Ready to order? I'll take you to go,flirt_0567,community space
"Hey, This place is nice","Nice place, but the company is what makes it perfect",Nice place! Not as nice as the view across from me though,Nice place... my bedroom's nicer though,flirt_0568,special occasion
"So, This place is nice","Nice place, but the company is what makes it perfect",Nice place! Not as nice as the view across from me though,Nice place... my bedroom's nicer though,flirt_0569,intimate setting
"Actually, This place is nice","Nice place, but the company is what makes it perfect",Nice place! Not as nice as the view across from me though,Nice place... my bedroom's nicer though,flirt_0570,dining experience
"Oh, This place is nice","Nice place, but the company is what makes it perfect",Nice place! Not as nice as the view across from me though,Nice place... my bedroom's nicer though,flirt_0571,daytime interaction
"Well, This place is nice","Nice place, but the company is what makes it perfect",Nice place! Not as nice as the view across from me though,Nice place... my bedroom's nicer though,flirt_0572,spontaneous meeting
"Um, This place is nice","Nice place, but the company is what makes it perfect",Nice place! Not as nice as the view across from me though,Nice place... my bedroom's nicer though,flirt_0573,one-on-one
"Honestly, This place is nice","Nice place, but the company is what makes it perfect",Nice place! Not as nice as the view across from me though,Nice place... my bedroom's nicer though,flirt_0574,shared activity
"Hey, Save room for dessert?",Save room for dessert? I was hoping you'd be mine,Dessert? Only if you're on the menu,Dessert? I'm thinking whipped cream and your place,flirt_0575,celebration
"So, Save room for dessert?",Save room for dessert? I was hoping you'd be mine,Dessert? Only if you're on the menu,Dessert? I'm thinking whipped cream and your place,flirt_0576,planned encounter
"Actually, Save room for dessert?",Save room for dessert? I was hoping you'd be mine,Dessert? Only if you're on the menu,Dessert? I'm thinking whipped cream and your place,flirt_0577,group setting
"Oh, Save room for dessert?",Save room for dessert? I was hoping you'd be mine,Dessert? Only if you're on the menu,Dessert? I'm thinking whipped cream and your place,flirt_0578,group setting
"Well, Save room for dessert?",Save room for dessert? I was hoping you'd be mine,Dessert? Only if you're on the menu,Dessert? I'm thinking whipped cream and your place,flirt_0579,spontaneous meeting
"Um, Save room for dessert?",Save room for dessert? I was hoping you'd be mine,Dessert? Only if you're on the menu,Dessert? I'm thinking whipped cream and your place,flirt_0580,waiting situation
"Honestly, Save room for dessert?",Save room for dessert? I was hoping you'd be mine,Dessert? Only if you're on the menu,Dessert? I'm thinking whipped cream and your place,flirt_0581,public interaction
"Hey, The service is slow","Slow service, but that means more time to get to know you","Slow service? Perfect, I was hoping to stare at you longer",Slow service... want to skip to my place for faster service?,flirt_0582,crowded place
"So, The service is slow","Slow service, but that means more time to get to know you","Slow service? Perfect, I was hoping to stare at you longer",Slow service... want to skip to my place for faster service?,flirt_0583,cultural venue
"Actually, The service is slow","Slow service, but that means more time to get to know you","Slow service? Perfect, I was hoping to stare at you longer",Slow service... want to skip to my place for faster service?,flirt_0584,public place
"Oh, The service is slow","Slow service, but that means more time to get to know you","Slow service? Perfect, I was hoping to stare at you longer",Slow service... want to skip to my place for faster service?,flirt_0585,casual conversation
"Well, The service is slow","Slow service, but that means more time to get to know you","Slow service? Perfect, I was hoping to stare at you longer",Slow service... want to skip to my place for faster service?,flirt_0586,spontaneous meeting
"Um, The service is slow","Slow service, but that means more time to get to know you","Slow service? Perfect, I was hoping to stare at you longer",Slow service... want to skip to my place for faster service?,flirt_0587,fitness activity
"Honestly, The service is slow","Slow service, but that means more time to get to know you","Slow service? Perfect, I was hoping to stare at you longer",Slow service... want to skip to my place for faster service?,flirt_0588,spontaneous meeting
"Hey, Want to share?",Want to share? I'd love to share more than just food with you,"Share? Sure, you can share your number with me",Want to share? How about we share a bed later?,flirt_0589,spontaneous meeting
"So, Want to share?",Want to share? I'd love to share more than just food with you,"Share? Sure, you can share your number with me",Want to share? How about we share a bed later?,flirt_0590,private moment
"Actually, Want to share?",Want to share? I'd love to share more than just food with you,"Share? Sure, you can share your number with me",Want to share? How about we share a bed later?,flirt_0591,recreational setting
"Oh, Want to share?",Want to share? I'd love to share more than just food with you,"Share? Sure, you can share your number with me",Want to share? How about we share a bed later?,flirt_0592,quiet moment
"Well, Want to share?",Want to share? I'd love to share more than just food with you,"Share? Sure, you can share your number with me",Want to share? How about we share a bed later?,flirt_0593,formal setting
"Um, Want to share?",Want to share? I'd love to share more than just food with you,"Share? Sure, you can share your number with me",Want to share? How about we share a bed later?,flirt_0594,fitness activity
"Honestly, Want to share?",Want to share? I'd love to share more than just food with you,"Share? Sure, you can share your number with me",Want to share? How about we share a bed later?,flirt_0595,one-on-one
"Hey, New here?",Are you new? I'd be happy to show you around... maybe over lunch?,New here? Great! I call dibs on being your favorite coworker,New here? Perfect timing - I was just thinking this place needed someone gorgeous,flirt_0596,public interaction
"So, New here?",Are you new? I'd be happy to show you around... maybe over lunch?,New here? Great! I call dibs on being your favorite coworker,New here? Perfect timing - I was just thinking this place needed someone gorgeous,flirt_0597,waiting situation
"Actually, New here?",Are you new? I'd be happy to show you around... maybe over lunch?,New here? Great! I call dibs on being your favorite coworker,New here? Perfect timing - I was just thinking this place needed someone gorgeous,flirt_0598,public place
"Oh, New here?",Are you new? I'd be happy to show you around... maybe over lunch?,New here? Great! I call dibs on being your favorite coworker,New here? Perfect timing - I was just thinking this place needed someone gorgeous,flirt_0599,planned encounter
"Well, New here?",Are you new? I'd be happy to show you around... maybe over lunch?,New here? Great! I call dibs on being your favorite coworker,New here? Perfect timing - I was just thinking this place needed someone gorgeous,flirt_0600,cultural venue
"Um, New here?",Are you new? I'd be happy to show you around... maybe over lunch?,New here? Great! I call dibs on being your favorite coworker,New here? Perfect timing - I was just thinking this place needed someone gorgeous,flirt_0601,dining experience
"Honestly, New here?",Are you new? I'd be happy to show you around... maybe over lunch?,New here? Great! I call dibs on being your favorite coworker,New here? Perfect timing - I was just thinking this place needed someone gorgeous,flirt_0602,formal setting
"Hey, Long day?",Long day? You still manage to look amazing though,Long day? Mine just got infinitely better,Long day? Let me take you out and make it worth it,flirt_0603,entertainment venue
"So, Long day?",Long day? You still manage to look amazing though,Long day? Mine just got infinitely better,Long day? Let me take you out and make it worth it,flirt_0604,casual conversation
"Actually, Long day?",Long day? You still manage to look amazing though,Long day? Mine just got infinitely better,Long day? Let me take you out and make it worth it,flirt_0605,casual conversation
"Oh, Long day?",Long day? You still manage to look amazing though,Long day? Mine just got infinitely better,Long day? Let me take you out and make it worth it,flirt_0606,quiet moment
"Well, Long day?",Long day? You still manage to look amazing though,Long day? Mine just got infinitely better,Long day? Let me take you out and make it worth it,flirt_0607,casual environment
"Um, Long day?",Long day? You still manage to look amazing though,Long day? Mine just got infinitely better,Long day? Let me take you out and make it worth it,flirt_0608,shared activity
"Honestly, Long day?",Long day? You still manage to look amazing though,Long day? Mine just got infinitely better,Long day? Let me take you out and make it worth it,flirt_0609,learning environment
"Hey, Great presentation",Great presentation... you're incredibly impressive,Great presentation! I was totally paying attention and not just admiring you,Great presentation... present yourself at dinner with me tonight?,flirt_0610,social event
"So, Great presentation",Great presentation... you're incredibly impressive,Great presentation! I was totally paying attention and not just admiring you,Great presentation... present yourself at dinner with me tonight?,flirt_0611,shopping area
"Actually, Great presentation",Great presentation... you're incredibly impressive,Great presentation! I was totally paying attention and not just admiring you,Great presentation... present yourself at dinner with me tonight?,flirt_0612,quiet moment
"Oh, Great presentation",Great presentation... you're incredibly impressive,Great presentation! I was totally paying attention and not just admiring you,Great presentation... present yourself at dinner with me tonight?,flirt_0613,one-on-one
"Well, Great presentation",Great presentation... you're incredibly impressive,Great presentation! I was totally paying attention and not just admiring you,Great presentation... present yourself at dinner with me tonight?,flirt_0614,shared activity
"Um, Great presentation",Great presentation... you're incredibly impressive,Great presentation! I was totally paying attention and not just admiring you,Great presentation... present yourself at dinner with me tonight?,flirt_0615,transportation
"Honestly, Great presentation",Great presentation... you're incredibly impressive,Great presentation! I was totally paying attention and not just admiring you,Great presentation... present yourself at dinner with me tonight?,flirt_0616,shared activity
"Hey, Coffee break?",Coffee break? I'd love to continue our conversation,Coffee break? More like a 'getting to know you better' break,Coffee break? How about a dinner date instead?,flirt_0617,daytime interaction
"So, Coffee break?",Coffee break? I'd love to continue our conversation,Coffee break? More like a 'getting to know you better' break,Coffee break? How about a dinner date instead?,flirt_0618,crowded place
"Actually, Coffee break?",Coffee break? I'd love to continue our conversation,Coffee break? More like a 'getting to know you better' break,Coffee break? How about a dinner date instead?,flirt_0619,planned encounter
"Oh, Coffee break?",Coffee break? I'd love to continue our conversation,Coffee break? More like a 'getting to know you better' break,Coffee break? How about a dinner date instead?,flirt_0620,friendly encounter
"Well, Coffee break?",Coffee break? I'd love to continue our conversation,Coffee break? More like a 'getting to know you better' break,Coffee break? How about a dinner date instead?,flirt_0621,friendly encounter
"Um, Coffee break?",Coffee break? I'd love to continue our conversation,Coffee break? More like a 'getting to know you better' break,Coffee break? How about a dinner date instead?,flirt_0622,formal setting
"Honestly, Coffee break?",Coffee break? I'd love to continue our conversation,Coffee break? More like a 'getting to know you better' break,Coffee break? How about a dinner date instead?,flirt_0623,casual environment
"Hey, Working late again?",Working late? At least the scenery around here is beautiful,Working late again? Maybe because you're avoiding going home to an empty apartment?,Working late? Come home with me instead,flirt_0624,professional context
"So, Working late again?",Working late? At least the scenery around here is beautiful,Working late again? Maybe because you're avoiding going home to an empty apartment?,Working late? Come home with me instead,flirt_0625,public interaction
"Actually, Working late again?",Working late? At least the scenery around here is beautiful,Working late again? Maybe because you're avoiding going home to an empty apartment?,Working late? Come home with me instead,flirt_0626,private moment
"Oh, Working late again?",Working late? At least the scenery around here is beautiful,Working late again? Maybe because you're avoiding going home to an empty apartment?,Working late? Come home with me instead,flirt_0627,casual conversation
"Well, Working late again?",Working late? At least the scenery around here is beautiful,Working late again? Maybe because you're avoiding going home to an empty apartment?,Working late? Come home with me instead,flirt_0628,daytime interaction
"Um, Working late again?",Working late? At least the scenery around here is beautiful,Working late again? Maybe because you're avoiding going home to an empty apartment?,Working late? Come home with me instead,flirt_0629,casual conversation
"Honestly, Working late again?",Working late? At least the scenery around here is beautiful,Working late again? Maybe because you're avoiding going home to an empty apartment?,Working late? Come home with me instead,flirt_0630,dining experience
"Hey, I love your style",I love your style... you have this effortless elegance about you,I love your style! Did you dress up just to make everyone else here look bad?,"I love your style... actually, I love everything I'm seeing right now",flirt_0631,recreational setting
"So, I love your style",I love your style... you have this effortless elegance about you,I love your style! Did you dress up just to make everyone else here look bad?,"I love your style... actually, I love everything I'm seeing right now",flirt_0632,casual conversation
"Actually, I love your style",I love your style... you have this effortless elegance about you,I love your style! Did you dress up just to make everyone else here look bad?,"I love your style... actually, I love everything I'm seeing right now",flirt_0633,evening out
"Oh, I love your style",I love your style... you have this effortless elegance about you,I love your style! Did you dress up just to make everyone else here look bad?,"I love your style... actually, I love everything I'm seeing right now",flirt_0634,crowded place
"Well, I love your style",I love your style... you have this effortless elegance about you,I love your style! Did you dress up just to make everyone else here look bad?,"I love your style... actually, I love everything I'm seeing right now",flirt_0635,energetic environment
"Um, I love your style",I love your style... you have this effortless elegance about you,I love your style! Did you dress up just to make everyone else here look bad?,"I love your style... actually, I love everything I'm seeing right now",flirt_0636,casual conversation
"Honestly, I love your style",I love your style... you have this effortless elegance about you,I love your style! Did you dress up just to make everyone else here look bad?,"I love your style... actually, I love everything I'm seeing right now",flirt_0637,casual conversation
"Hey, You're funny",You're funny... I love how your eyes light up when you laugh,"You're funny! Finally, someone who can match my terrible sense of humor","You're funny, smart, and gorgeous... so what's the catch?",flirt_0638,day activity
"So, You're funny",You're funny... I love how your eyes light up when you laugh,"You're funny! Finally, someone who can match my terrible sense of humor","You're funny, smart, and gorgeous... so what's the catch?",flirt_0639,social event
"Actually, You're funny",You're funny... I love how your eyes light up when you laugh,"You're funny! Finally, someone who can match my terrible sense of humor","You're funny, smart, and gorgeous... so what's the catch?",flirt_0640,day activity
"Oh, You're funny",You're funny... I love how your eyes light up when you laugh,"You're funny! Finally, someone who can match my terrible sense of humor","You're funny, smart, and gorgeous... so what's the catch?",flirt_0641,night scene
"Well, You're funny",You're funny... I love how your eyes light up when you laugh,"You're funny! Finally, someone who can match my terrible sense of humor","You're funny, smart, and gorgeous... so what's the catch?",flirt_0642,professional context
"Um, You're funny",You're funny... I love how your eyes light up when you laugh,"You're funny! Finally, someone who can match my terrible sense of humor","You're funny, smart, and gorgeous... so what's the catch?",flirt_0643,day activity
"Honestly, You're funny",You're funny... I love how your eyes light up when you laugh,"You're funny! Finally, someone who can match my terrible sense of humor","You're funny, smart, and gorgeous... so what's the catch?",flirt_0644,daytime interaction
"Hey, I should go",I should go... but I'd really love to continue this conversation sometime,"I should go, but my feet seem to be rebelling. I think they like standing next to you",I should go... unless you give me a really good reason to stay,flirt_0645,learning environment
"So, I should go",I should go... but I'd really love to continue this conversation sometime,"I should go, but my feet seem to be rebelling. I think they like standing next to you",I should go... unless you give me a really good reason to stay,flirt_0646,shared activity
"Actually, I should go",I should go... but I'd really love to continue this conversation sometime,"I should go, but my feet seem to be rebelling. I think they like standing next to you",I should go... unless you give me a really good reason to stay,flirt_0647,evening out
"Oh, I should go",I should go... but I'd really love to continue this conversation sometime,"I should go, but my feet seem to be rebelling. I think they like standing next to you",I should go... unless you give me a really good reason to stay,flirt_0648,fitness activity
"Well, I should go",I should go... but I'd really love to continue this conversation sometime,"I should go, but my feet seem to be rebelling. I think they like standing next to you",I should go... unless you give me a really good reason to stay,flirt_0649,intimate setting
